epoch;acc;loss;val_acc;val_loss
0;0.6044796137339056;0.7974876576824079;0.6867283950617284;0.7112782660089894
1;0.6871311035486309;0.6530008640235576;0.6178071540584831;0.954286544634432
2;0.7326954033054536;0.5659256942358326;0.6500777604513183;0.8988853693008423
3;0.7818815954212127;0.4839898109212158;0.816485225598141;0.4039962415005519
4;0.8050885351777525;0.4420074004805849;0.8028771385063835;0.423354176025183
5;0.8282954748383449;0.39792141448916274;0.8600311041063692;0.31908896393946506
6;0.8521731354281549;0.35370725305876566;0.6465785380099461;1.3784770758860219
7;0.8666159899732419;0.31587044428017885;0.8569206843850772;0.3375625103063198
8;0.8810141298835296;0.28631599372986755;0.8437013997816557;0.37552421592164376
9;0.8955464138474667;0.25568069485363476;0.890357698289269;0.2515950773496465
10;0.9037739223645851;0.23519688257802643;0.9136858475894246;0.22677362427509407
11;0.9114201394779442;0.22279488540915338;0.8153188179477378;0.4996720335531754
12;0.9166070470398855;0.20867699300135703;0.9043545879620601;0.2417344094759569
13;0.9232695403006951;0.19748815667317945;0.8491446345256609;0.35705863585924474
14;0.9275174387621551;0.1825698834266417;0.9136858476821224;0.20610160611187503
15;0.9322571990912555;0.1707332363534413;0.8915241056615791;0.27797307433273705
16;0.9361473797174029;0.16474632852337823;0.9401244168889652;0.15961643258576075
17;0.9381595421319271;0.16297760708155945;0.9199066874954971;0.19173244448323642
18;0.9416920049973878;0.14898944415713097;0.9459564542140041;0.1441298149132154
19;0.9448220354033975;0.14401187737722385;0.8114307930643785;0.517761675325189
